1;Spring Foraging Bundle;Spring Mixed Seeds;4;4
2;Summer Foraging Bundle;Summer Mixed Seeds;4;4
3;Fall Foraging Bundle;Fall Mixed Seeds;4;4
4;Winter Foraging Bundle;Winter Mixed Seeds;4;4
5;Exotic Foraging Bundle;Autumn Bounty;5;5
6;Construction Bundle;Charcoal Kiln;4;4
7;Spring Crops Bundle;Speed-Gro;4;4
8;Summer Crops Bundle;Quality Sprinkler;4;4
9;Fall Crops Bundle;Bee House;4;4
10;Quality Crops Bundle;Preserves Jar;4;4
11;Animal Bundle;Cheese Press;5;6
12;Artisan Bundle;Keg;6;10
13;River Fish Bundle;Bait;4;4
14;Night Fishing Bundle;Glow Ring;3;3
15;Lake Fish Bundle;Lure;4;4
16;Ocean Fish Bundle;Beach Totems;4;4
17;Specialty Fish Bundle;Dish 'o the Sea;4;4
18;Crab Pot Bundle;Crab Pot;5;10
19;Adventurer's Bundle;Small Magnet Ring;2;4
20;Blacksmith's Bundle;Furnace;3;3
21;Geologist's Bundle;Omni Geode;4;4
22;Chef's Bundle;Pink Cake;6;6
23;Dye Bundle;Seed Maker;6;6
24;Field Research Bundle;Recycling Machine;4;4
25;Enchanter's Bundle;Gold Bar;4;4
26;Fodder Bundle;Heater;3;3
